No.,Time,Source,Destination,Protocol,Length,Info
30,9:25:24,10.18.226.153,128.122.0.11,TCP,56,"1742  >  53 [PSH, ACK] Seq=1 Ack=1 Win=131072 Len=2 [TCP segment of a reassembled PDU]"
31,9:25:24,10.18.226.153,128.122.0.11,DNS,84,Standard query 0x7381 HTTPS www.bing.com
32,9:25:24,128.122.0.11,10.18.226.153,TCP,54,53  >  1741 [ACK] Seq=1 Ack=3 Win=29440 Len=0
33,9:25:24,128.122.0.11,10.18.226.153,TCP,54,53  >  1742 [ACK] Seq=1 Ack=3 Win=29440 Len=0
34,9:25:24,128.122.0.11,10.18.226.153,TCP,54,53  >  1741 [ACK] Seq=1 Ack=33 Win=29440 Len=0
35,9:25:24,128.122.0.11,10.18.226.153,TCP,54,53  >  1742 [ACK] Seq=1 Ack=33 Win=29440 Len=0
36,9:25:24,128.122.0.11,10.18.226.153,DNS,297,Standard query response 0x2296 A www.bing.com CNAME www-www.bing.com.trafficmanager.net CNAME www-bing-com.dual-a-0001.a-msedge.net CNAME dual-a-0001.a-msedge.net A 13.107.21.200 A 204.79.197.200 NS ns1.a-msedge.net NS ns2.a-msedge.net A 204.79.197.1 A 204.79.197.2
37,9:25:24,128.122.0.11,10.18.226.153,DNS,254,Standard query response 0x7381 HTTPS www.bing.com CNAME www-www.bing.com.trafficmanager.net CNAME www-bing-com.dual-a-0001.a-msedge.net CNAME dual-a-0001.a-msedge.net SOA ns1.a-msedge.net
38,9:25:24,10.18.226.153,128.122.0.11,TCP,54,"1741  >  53 [FIN, ACK] Seq=33 Ack=244 Win=130816 Len=0"
39,9:25:24,10.18.226.153,13.107.21.200,TCP,66,1743  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM
40,9:25:24,10.18.226.153,128.122.0.11,TCP,54,"1742  >  53 [FIN, ACK] Seq=33 Ack=201 Win=131072 Len=0"
41,9:25:24,128.122.0.11,10.18.226.153,TCP,54,"53  >  1741 [FIN, ACK] Seq=244 Ack=34 Win=29440 Len=0"
42,9:25:24,10.18.226.153,128.122.0.11,TCP,54,1741  >  53 [ACK] Seq=34 Ack=245 Win=130816 Len=0
43,9:25:24,128.122.0.11,10.18.226.153,TCP,54,"53  >  1742 [FIN, ACK] Seq=201 Ack=34 Win=29440 Len=0"
44,9:25:24,10.18.226.153,128.122.0.11,TCP,54,1742  >  53 [ACK] Seq=34 Ack=202 Win=131072 Len=0
45,9:25:24,13.107.21.200,10.18.226.153,TCP,66,"443  >  1743 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1300 WS=256 SACK_PERM"
46,9:25:24,10.18.226.153,13.107.21.200,TCP,54,1743  >  443 [ACK] Seq=1 Ack=1 Win=131072 Len=0
47,9:25:24,10.18.226.153,13.107.21.200,TLSv1.2,640,Client Hello
48,9:25:24,13.107.21.200,10.18.226.153,TCP,54,443  >  1743 [ACK] Seq=1 Ack=587 Win=4194304 Len=0
49,9:25:24,13.107.21.200,10.18.226.153,TCP,1354,443  >  1743 [ACK] Seq=1 Ack=587 Win=4194304 Len=1300 [TCP segment of a reassembled PDU]
50,9:25:24,13.107.21.200,10.18.226.153,TCP,1354,443  >  1743 [ACK] Seq=1301 Ack=587 Win=4194304 Len=1300 [TCP segment of a reassembled PDU]
51,9:25:24,10.18.226.153,13.107.21.200,TCP,54,1743  >  443 [ACK] Seq=587 Ack=2601 Win=131072 Len=0
52,9:25:24,13.107.21.200,10.18.226.153,TCP,1354,443  >  1743 [ACK] Seq=2601 Ack=587 Win=4194304 Len=1300 [TCP segment of a reassembled PDU]
53,9:25:24,13.107.21.200,10.18.226.153,TCP,1354,443  >  1743 [ACK] Seq=3901 Ack=587 Win=4194304 Len=1300 [TCP segment of a reassembled PDU]
54,9:25:24,10.18.226.153,13.107.21.200,TCP,54,1743  >  443 [ACK] Seq=587 Ack=5201 Win=131072 Len=0
55,9:25:24,13.107.21.200,10.18.226.153,TCP,1354,443  >  1743 [ACK] Seq=5201 Ack=587 Win=4194304 Len=1300 [TCP segment of a reassembled PDU]
56,9:25:24,13.107.21.200,10.18.226.153,TLSv1.2,590,"Server Hello, Certificate, Certificate Status, Server Key Exchange, Server Hello Done"
57,9:25:24,10.18.226.153,13.107.21.200,TCP,54,1743  >  443 [ACK] Seq=587 Ack=7037 Win=131072 Len=0
58,9:25:24,10.18.226.153,13.107.21.200,TLSv1.2,212,"Client Key Exchange, Change Cipher Spec, Finished"
59,9:25:24,10.18.226.153,13.107.21.200,HTTP2,159,"Magic, SETTINGS[0], WINDOW_UPDATE[0]"
60,9:25:24,10.18.226.153,13.107.21.200,HTTP2,1093,HEADERS[1]: GET /qbox?query=n&language=en-US&pt=EdgBox&cvid=8b3aa8301a964f73b7b7234386052248&oit=1&cp=1&pgcl=1
61,9:25:24,13.107.21.200,10.18.226.153,TCP,54,443  >  1743 [ACK] Seq=7037 Ack=850 Win=4194048 Len=0
62,9:25:24,13.107.21.200,10.18.226.153,TCP,54,443  >  1743 [ACK] Seq=7037 Ack=1889 Win=4195072 Len=0
63,9:25:24,13.107.21.200,10.18.226.153,TLSv1.2,396,"New Session Ticket, Change Cipher Spec, Finished"
64,9:25:24,13.107.21.200,10.18.226.153,HTTP2,123,"SETTINGS[0], WINDOW_UPDATE[0]"
65,9:25:24,10.18.226.153,13.107.21.200,TCP,54,1743  >  443 [ACK] Seq=1889 Ack=7448 Win=130816 Len=0
66,9:25:24,10.18.226.153,13.107.21.200,HTTP2,92,SETTINGS[0]
67,9:25:24,13.107.21.200,10.18.226.153,HTTP2,92,SETTINGS[0]
68,9:25:24,13.107.21.200,10.18.226.153,TCP,54,443  >  1743 [ACK] Seq=7486 Ack=1927 Win=4194816 Len=0
69,9:25:25,10.18.226.153,13.107.21.200,TCP,54,1743  >  443 [ACK] Seq=1927 Ack=7486 Win=130816 Len=0
70,9:25:25,13.107.21.200,10.18.226.153,TCP,1354,443  >  1743 [ACK] Seq=7486 Ack=1927 Win=4194816 Len=1300 [TCP segment of a reassembled PDU]
71,9:25:25,13.107.21.200,10.18.226.153,HTTP2,610,"HEADERS[1]: 200 OK, DATA[1]"
72,9:25:25,10.18.226.153,13.107.21.200,TCP,54,1743  >  443 [ACK] Seq=1927 Ack=9342 Win=131072 Len=0
73,9:25:25,13.107.21.200,10.18.226.153,HTTP2/JSON,92,"DATA[1], JavaScript Object Notation (application/json)"
74,9:25:25,10.18.226.153,13.107.21.200,HTTP2,191,HEADERS[3]: GET /th?id=OSK.72d1d6fb3df76fdc570a71ff886f8020&w=80&h=80&qlt=90&c=6&rs=1&cdv=1&pid=RS
75,9:25:25,13.107.21.200,10.18.226.153,TCP,54,443  >  1743 [ACK] Seq=9380 Ack=2064 Win=4194816 Len=0
76,9:25:25,13.107.21.200,10.18.226.153,TCP,1354,443  >  1743 [ACK] Seq=9380 Ack=2064 Win=4194816 Len=1300 [TCP segment of a reassembled PDU]
77,9:25:25,13.107.21.200,10.18.226.153,HTTP2,880,"HEADERS[3]: 200 OK, DATA[3]"
78,9:25:25,10.18.226.153,13.107.21.200,TCP,54,1743  >  443 [ACK] Seq=2064 Ack=11506 Win=131072 Len=0
79,9:25:25,13.107.21.200,10.18.226.153,HTTP2,92,DATA[3] (JPEG JFIF image)
80,9:25:25,10.18.226.153,13.107.21.200,TCP,54,1743  >  443 [ACK] Seq=2064 Ack=11544 Win=131072 Len=0
81,9:25:25,10.18.226.153,13.107.21.200,HTTP2,191,HEADERS[5]: GET /qbox?query=ny&language=en-US&pt=EdgBox&cvid=8b3aa8301a964f73b7b7234386052248&oit=1&cp=2&pgcl=1
82,9:25:25,13.107.21.200,10.18.226.153,TCP,54,443  >  1743 [ACK] Seq=11544 Ack=2201 Win=4194560 Len=0
83,9:25:25,13.107.21.200,10.18.226.153,HTTP2,999,"HEADERS[5]: 200 OK, DATA[5]"
84,9:25:25,13.107.21.200,10.18.226.153,HTTP2,103,DATA[5]
85,9:25:25,10.18.226.153,13.107.21.200,TCP,54,1743  >  443 [ACK] Seq=2201 Ack=12538 Win=130048 Len=0
86,9:25:25,13.107.21.200,10.18.226.153,HTTP2/JSON,92,"DATA[5], JavaScript Object Notation (application/json)"
87,9:25:25,10.18.226.153,13.107.21.200,TCP,54,1743  >  443 [ACK] Seq=2201 Ack=12576 Win=130048 Len=0
88,9:25:25,10.18.226.153,13.107.21.200,HTTP2,191,HEADERS[7]: GET /qbox?query=nyt&language=en-US&pt=EdgBox&cvid=8b3aa8301a964f73b7b7234386052248&oit=1&cp=3&pgcl=1
89,9:25:25,13.107.21.200,10.18.226.153,TCP,54,443  >  1743 [ACK] Seq=12576 Ack=2338 Win=4194560 Len=0
90,9:25:25,10.18.226.153,13.107.21.200,HTTP2,96,RST_STREAM[7]
91,9:25:25,13.107.21.200,10.18.226.153,TCP,54,443  >  1743 [ACK] Seq=12576 Ack=2380 Win=4194560 Len=0
92,9:25:25,10.18.226.153,13.107.21.200,HTTP2,192,HEADERS[9]: GET /qbox?query=nyti&language=en-US&pt=EdgBox&cvid=8b3aa8301a964f73b7b7234386052248&oit=1&cp=4&pgcl=1
93,9:25:25,13.107.21.200,10.18.226.153,TCP,54,443  >  1743 [ACK] Seq=12576 Ack=2518 Win=4194304 Len=0
94,9:25:25,13.107.21.200,10.18.226.153,HTTP2,1050,"HEADERS[9]: 200 OK, DATA[9]"
95,9:25:25,13.107.21.200,10.18.226.153,HTTP2/JSON,92,"DATA[9], JavaScript Object Notation (application/json)"
96,9:25:25,10.18.226.153,13.107.21.200,TCP,54,1743  >  443 [ACK] Seq=2518 Ack=13610 Win=131072 Len=0
97,9:25:25,10.18.226.153,13.107.21.200,HTTP2,193,HEADERS[11]: GET /qbox?query=nytim&language=en-US&pt=EdgBox&cvid=8b3aa8301a964f73b7b7234386052248&oit=1&cp=5&pgcl=1
98,9:25:25,13.107.21.200,10.18.226.153,TCP,54,443  >  1743 [ACK] Seq=13610 Ack=2657 Win=4194304 Len=0
99,9:25:25,13.107.21.200,10.18.226.153,TCP,1354,443  >  1743 [ACK] Seq=13610 Ack=2657 Win=4194304 Len=1300 [TCP segment of a reassembled PDU]
100,9:25:25,13.107.21.200,10.18.226.153,HTTP2,410,"HEADERS[11]: 200 OK, DATA[11]"
101,9:25:25,10.18.226.153,13.107.21.200,TCP,54,1743  >  443 [ACK] Seq=2657 Ack=15266 Win=131072 Len=0
102,9:25:25,13.107.21.200,10.18.226.153,HTTP2/JSON,92,"DATA[11], JavaScript Object Notation (application/json)"
103,9:25:25,10.18.226.153,54.241.197.58,TLSv1.2,1988,Application Data
104,9:25:25,10.18.226.153,13.107.21.200,TCP,54,1743  >  443 [ACK] Seq=2657 Ack=15304 Win=131072 Len=0
105,9:25:25,10.18.226.153,13.107.21.200,HTTP2,193,HEADERS[13]: GET /qbox?query=nytime&language=en-US&pt=EdgBox&cvid=8b3aa8301a964f73b7b7234386052248&oit=1&cp=6&pgcl=1
106,9:25:25,13.107.21.200,10.18.226.153,TCP,54,443  >  1743 [ACK] Seq=15304 Ack=2796 Win=4194048 Len=0
107,9:25:25,54.241.197.58,10.18.226.153,TCP,54,443  >  1056 [ACK] Seq=181 Ack=3424 Win=3006 Len=0
108,9:25:25,54.241.197.58,10.18.226.153,TLSv1.2,99,Application Data
109,9:25:25,54.241.197.58,10.18.226.153,TLSv1.2,99,Application Data
110,9:25:25,10.18.226.153,54.241.197.58,TCP,54,1056  >  443 [ACK] Seq=3424 Ack=271 Win=508 Len=0
111,9:25:25,13.107.21.200,10.18.226.153,HTTP2,1054,"HEADERS[13]: 200 OK, DATA[13]"
112,9:25:25,13.107.21.200,10.18.226.153,HTTP2/JSON,92,"DATA[13], JavaScript Object Notation (application/json)"
113,9:25:25,10.18.226.153,13.107.21.200,TCP,54,1743  >  443 [ACK] Seq=2796 Ack=16342 Win=130048 Len=0
114,9:25:25,10.18.226.153,13.107.21.200,HTTP2,194,HEADERS[15]: GET /qbox?query=nytimes&language=en-US&pt=EdgBox&cvid=8b3aa8301a964f73b7b7234386052248&oit=1&cp=7&pgcl=1
115,9:25:25,13.107.21.200,10.18.226.153,TCP,54,443  >  1743 [ACK] Seq=16342 Ack=2936 Win=4194048 Len=0
116,9:25:25,13.107.21.200,10.18.226.153,HTTP2,897,"HEADERS[15]: 200 OK, DATA[15]"
117,9:25:25,13.107.21.200,10.18.226.153,HTTP2,246,DATA[15]
118,9:25:25,10.18.226.153,13.107.21.200,TCP,54,1743  >  443 [ACK] Seq=2936 Ack=17377 Win=131072 Len=0
119,9:25:25,13.107.21.200,10.18.226.153,HTTP2/JSON,92,"DATA[15], JavaScript Object Notation (application/json)"
120,9:25:26,10.18.226.153,13.107.21.200,TCP,54,1743  >  443 [ACK] Seq=2936 Ack=17415 Win=131072 Len=0
121,9:25:26,10.18.226.153,142.250.65.163,UDP,160,59894  >  443 Len=118
122,9:25:26,142.250.65.163,10.18.226.153,UDP,73,443  >  59894 Len=31
123,9:25:26,10.18.226.153,142.250.65.163,UDP,75,59894  >  443 Len=33
124,9:25:26,10.18.226.153,128.122.0.11,TCP,66,1744  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM
125,9:25:26,128.122.0.11,10.18.226.153,TCP,66,"53  >  1744 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1300 SACK_PERM WS=256"
126,9:25:26,10.18.226.153,128.122.0.11,TCP,54,1744  >  53 [ACK] Seq=1 Ack=1 Win=131072 Len=0
127,9:25:26,10.18.226.153,128.122.0.11,TCP,56,"1744  >  53 [PSH, ACK] Seq=1 Ack=1 Win=131072 Len=2 [TCP segment of a reassembled PDU]"
128,9:25:26,10.18.226.153,128.122.0.11,DNS,84,Standard query 0xe5ac A www.bing.com
129,9:25:26,128.122.0.11,10.18.226.153,TCP,54,53  >  1744 [ACK] Seq=1 Ack=3 Win=29440 Len=0
130,9:25:26,128.122.0.11,10.18.226.153,TCP,54,53  >  1744 [ACK] Seq=1 Ack=33 Win=29440 Len=0
131,9:25:26,128.122.0.11,10.18.226.153,DNS,297,Standard query response 0xe5ac A www.bing.com CNAME www-www.bing.com.trafficmanager.net CNAME www-bing-com.dual-a-0001.a-msedge.net CNAME dual-a-0001.a-msedge.net A 13.107.21.200 A 204.79.197.200 NS ns2.a-msedge.net NS ns1.a-msedge.net A 204.79.197.1 A 204.79.197.2
132,9:25:26,10.18.226.153,128.122.0.11,TCP,54,"1744  >  53 [FIN, ACK] Seq=33 Ack=244 Win=130816 Len=0"
133,9:25:26,128.122.0.11,10.18.226.153,TCP,54,"53  >  1744 [FIN, ACK] Seq=244 Ack=34 Win=29440 Len=0"
134,9:25:26,10.18.226.153,128.122.0.11,TCP,54,1744  >  53 [ACK] Seq=34 Ack=245 Win=130816 Len=0
135,9:25:26,142.250.65.163,10.18.226.153,UDP,193,443  >  59894 Len=151
136,9:25:26,142.250.65.163,10.18.226.153,UDP,65,443  >  59894 Len=23
137,9:25:26,10.18.226.153,142.250.65.163,UDP,81,59894  >  443 Len=39
138,9:25:26,10.18.226.153,142.250.65.163,UDP,75,59894  >  443 Len=33
139,9:25:26,142.250.65.163,10.18.226.153,UDP,67,443  >  59894 Len=25
140,9:25:26,10.18.226.153,13.107.21.200,HTTP2,794,HEADERS[17]: GET /search?pglt=41&q=nytimes&cvid=8b3aa8301a964f73b7b7234386052248&aqs=edge.0.0l9.1148j0j1&FORM=ANNTA1&DAF0=1&PC=U531
141,9:25:26,13.107.21.200,10.18.226.153,TCP,54,443  >  1743 [ACK] Seq=17415 Ack=3676 Win=4195072 Len=0
142,9:25:26,10.18.226.153,128.122.0.11,TCP,66,1745  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM
143,9:25:26,10.18.226.153,128.122.0.11,TCP,66,1746  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM
144,9:25:26,128.122.0.11,10.18.226.153,TCP,66,"53  >  1745 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1300 SACK_PERM WS=256"
145,9:25:26,10.18.226.153,128.122.0.11,TCP,54,1745  >  53 [ACK] Seq=1 Ack=1 Win=131072 Len=0
146,9:25:26,128.122.0.11,10.18.226.153,TCP,66,"53  >  1746 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1300 SACK_PERM WS=256"
147,9:25:26,10.18.226.153,128.122.0.11,TCP,54,1746  >  53 [ACK] Seq=1 Ack=1 Win=131072 Len=0
148,9:25:26,10.18.226.153,128.122.0.11,TCP,56,"1745  >  53 [PSH, ACK] Seq=1 Ack=1 Win=131072 Len=2 [TCP segment of a reassembled PDU]"
149,9:25:26,10.18.226.153,128.122.0.11,DNS,99,Standard query 0xef45 A browser.events.data.msn.com
150,9:25:26,10.18.226.153,128.122.0.11,TCP,56,"1746  >  53 [PSH, ACK] Seq=1 Ack=1 Win=131072 Len=2 [TCP segment of a reassembled PDU]"
151,9:25:26,10.18.226.153,128.122.0.11,DNS,99,Standard query 0x8285 HTTPS browser.events.data.msn.com
152,9:25:26,128.122.0.11,10.18.226.153,TCP,54,53  >  1745 [ACK] Seq=1 Ack=3 Win=29440 Len=0
153,9:25:26,128.122.0.11,10.18.226.153,TCP,54,53  >  1745 [ACK] Seq=1 Ack=48 Win=29440 Len=0
154,9:25:26,128.122.0.11,10.18.226.153,TCP,54,53  >  1746 [ACK] Seq=1 Ack=3 Win=29440 Len=0
155,9:25:26,128.122.0.11,10.18.226.153,TCP,54,53  >  1746 [ACK] Seq=1 Ack=48 Win=29440 Len=0
156,9:25:26,128.122.0.11,10.18.226.153,DNS,283,Standard query response 0x8285 HTTPS browser.events.data.msn.com CNAME global.asimov.events.data.trafficmanager.net CNAME onedscolprdeus08.eastus.cloudapp.azure.com SOA ns1-201.azure-dns.com
157,9:25:26,10.18.226.153,128.122.0.11,TCP,54,"1746  >  53 [FIN, ACK] Seq=48 Ack=230 Win=130816 Len=0"
158,9:25:26,10.18.226.153,52.96.111.2,TCP,55,1172  >  443 [ACK] Seq=1 Ack=1 Win=512 Len=1 [TCP segment of a reassembled PDU]
159,9:25:26,128.122.0.11,10.18.226.153,TCP,54,"53  >  1746 [FIN, ACK] Seq=230 Ack=49 Win=29440 Len=0"
160,9:25:26,10.18.226.153,128.122.0.11,TCP,54,1746  >  53 [ACK] Seq=49 Ack=231 Win=130816 Len=0
161,9:25:26,128.122.0.11,10.18.226.153,DNS,542,Standard query response 0xef45 A browser.events.data.msn.com CNAME global.asimov.events.data.trafficmanager.net CNAME onedscolprdeus08.eastus.cloudapp.azure.com A 20.42.65.88 NS ns11-201.azure-dns.org NS ns10-201.azure-dns.net NS ns9-201.azure-dns.com NS ns12-201.azure-dns.info A 150.171.10.201 A 150.171.16.201 A 13.107.222.201 A 13.107.206.201 AAAA 2603:1061:0:10::c9 AAAA 2620:1ec:8ec:10::c9 AAAA 2a01:111:4000:10::c9 AAAA 2620:1ec:bda:10::c9
162,9:25:26,10.18.226.153,20.42.65.88,TCP,66,1747  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM
163,9:25:26,10.18.226.153,128.122.0.11,TCP,54,"1745  >  53 [FIN, ACK] Seq=48 Ack=489 Win=130560 Len=0"
164,9:25:26,13.107.21.200,10.18.226.153,TCP,1354,443  >  1743 [ACK] Seq=17415 Ack=3676 Win=4195072 Len=1300 [TCP segment of a reassembled PDU]
165,9:25:26,13.107.21.200,10.18.226.153,TCP,1354,443  >  1743 [ACK] Seq=18715 Ack=3676 Win=4195072 Len=1300 [TCP segment of a reassembled PDU]
166,9:25:26,10.18.226.153,13.107.21.200,TCP,54,1743  >  443 [ACK] Seq=3676 Ack=20015 Win=131072 Len=0
167,9:25:26,13.107.21.200,10.18.226.153,HTTP2,506,"HEADERS[17]: 200 OK, DATA[17]"
168,9:25:26,13.107.21.200,10.18.226.153,HTTP2,175,DATA[17]
169,9:25:26,10.18.226.153,13.107.21.200,TCP,54,1743  >  443 [ACK] Seq=3676 Ack=20588 Win=130560 Len=0
170,9:25:26,13.107.21.200,10.18.226.153,TCP,1354,443  >  1743 [ACK] Seq=20588 Ack=3676 Win=4195072 Len=1300 [TCP segment of a reassembled PDU]
171,9:25:26,13.107.21.200,10.18.226.153,TCP,1354,443  >  1743 [ACK] Seq=21888 Ack=3676 Win=4195072 Len=1300 [TCP segment of a reassembled PDU]
172,9:25:26,10.18.226.153,13.107.21.200,TCP,54,1743  >  443 [ACK] Seq=3676 Ack=23188 Win=131072 Len=0
173,9:25:26,13.107.21.200,10.18.226.153,HTTP2,443,DATA[17]
174,9:25:26,52.96.111.2,10.18.226.153,TCP,66,443  >  1172 [ACK] Seq=1 Ack=2 Win=16383 Len=0 SLE=1 SRE=2
175,9:25:26,128.122.0.11,10.18.226.153,TCP,54,"53  >  1745 [FIN, ACK] Seq=489 Ack=49 Win=29440 Len=0"
176,9:25:26,10.18.226.153,128.122.0.11,TCP,54,1745  >  53 [ACK] Seq=49 Ack=490 Win=130560 Len=0
177,9:25:26,20.42.65.88,10.18.226.153,TCP,66,"443  >  1747 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1300 WS=256 SACK_PERM"
178,9:25:26,10.18.226.153,20.42.65.88,TCP,54,1747  >  443 [ACK] Seq=1 Ack=1 Win=131072 Len=0
179,9:25:26,10.18.226.153,20.42.65.88,TLSv1.2,571,Client Hello
180,9:25:26,10.18.226.153,54.241.197.58,TLSv1.2,2232,Application Data
181,9:25:26,20.42.65.88,10.18.226.153,TCP,1354,443  >  1747 [ACK] Seq=1 Ack=518 Win=524544 Len=1300 [TCP segment of a reassembled PDU]
182,9:25:26,20.42.65.88,10.18.226.153,TCP,1354,443  >  1747 [ACK] Seq=1301 Ack=518 Win=524544 Len=1300 [TCP segment of a reassembled PDU]
183,9:25:26,10.18.226.153,20.42.65.88,TCP,54,1747  >  443 [ACK] Seq=518 Ack=2601 Win=131072 Len=0
184,9:25:26,20.42.65.88,10.18.226.153,TCP,1354,443  >  1747 [ACK] Seq=2601 Ack=518 Win=524544 Len=1300 [TCP segment of a reassembled PDU]
185,9:25:26,20.42.65.88,10.18.226.153,TCP,1354,443  >  1747 [ACK] Seq=3901 Ack=518 Win=524544 Len=1300 [TCP segment of a reassembled PDU]
186,9:25:26,10.18.226.153,20.42.65.88,TCP,54,1747  >  443 [ACK] Seq=518 Ack=5201 Win=131072 Len=0
187,9:25:26,20.42.65.88,10.18.226.153,TLSv1.2,1156,"Server Hello, Certificate, Certificate Status, Server Key Exchange, Server Hello Done"
188,9:25:26,10.18.226.153,13.107.21.200,TCP,54,1743  >  443 [ACK] Seq=3676 Ack=23577 Win=130816 Len=0
189,9:25:26,10.18.226.153,20.42.65.88,TLSv1.2,212,"Client Key Exchange, Change Cipher Spec, Finished"
190,9:25:26,10.18.226.153,20.42.65.88,HTTP2,159,"Magic, SETTINGS[0], WINDOW_UPDATE[0]"
191,9:25:26,10.18.226.153,128.122.0.11,TCP,66,1748  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM
192,9:25:26,10.18.226.153,128.122.0.11,TCP,66,1749  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM
193,9:25:26,10.18.226.153,20.42.65.88,HTTP2,813,HEADERS[1]: POST /OneCollector/1.0?cors=true&content-type=application/x-json-stream&client-id=NO_AUTH&client-version=1DS-Web-JS-3.2.8&apikey=0ded60c75e44443aa3484c42c1c43fe8-9fc57d3f-fdac-4bcf-b927-75eafe60192e-7279&upload-time=1689945925583&w=0&anoncknm=app_anon&NoResponseBody=true
194,9:25:26,10.18.226.153,20.42.65.88,HTTP2,7989,DATA[1] (text/plain)
195,9:25:26,128.122.0.11,10.18.226.153,TCP,66,"53  >  1749 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1300 SACK_PERM WS=256"
196,9:25:26,10.18.226.153,128.122.0.11,TCP,54,1749  >  53 [ACK] Seq=1 Ack=1 Win=131072 Len=0
197,9:25:26,128.122.0.11,10.18.226.153,TCP,66,"53  >  1748 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1300 SACK_PERM WS=256"
198,9:25:26,10.18.226.153,128.122.0.11,TCP,54,1748  >  53 [ACK] Seq=1 Ack=1 Win=131072 Len=0
